date,aqi,hotspot_count,hotspot_count_high,total_frp,mean_frp,max_frp,product,frp_lag1,count_lag1,frp_lag2,count_lag2,frp_lag3,count_lag3,frp_roll3,frp_roll7,aqi_roll3,aqi_roll7,log_frp,log_count,frp_cumsum,aqi_delta,frp_delta,frp_norm,frp_z,aqi_z,fire_cat
2025-10-01,116.72916666666667,38,0,165.16,4.35,9.44,VIIRS_SNPP_SP,147.68,31.0,408.52,84.0,310.86,75.0,240.45333333333335,196.61142857142858,114.625,130.47619047619048,5.112951179567857,3.6635616461296463,2525.86,0.9166666666666714,17.47999999999999,0.05356494214104094,-0.5191579423875514,-1.1982596701803834,Low
2025-10-02,136.5,49,0,237.2,4.84,15.28,VIIRS_SNPP_SP,165.16,38.0,147.68,31.0,408.52,84.0,183.3466666666667,216.30142857142854,123.0138888888889,128.63095238095238,5.473110656921199,3.912023005428146,2763.06,19.77083333333333,72.03999999999999,0.07692906439728088,-0.4288801979479062,-0.6918272101740154,Low
2025-10-03,120.8125,84,0,529.45,6.3,41.12,VIIRS_SNPP_SP,237.2,49.0,165.16,38.0,147.68,31.0,310.6033333333334,282.1942857142857,124.68055555555556,127.50892857142857,6.27372570290528,4.442651256490317,3292.51,-15.6875,292.25000000000006,0.17171202843651082,-0.06264379022322117,-1.0936645572602062,Moderate
2025-10-04,138.375,160,0,596.52,3.73,17.94,VIIRS_SNPP_SP,529.45,84.0,237.2,49.0,165.16,38.0,454.39000000000004,342.1985714285714,131.89583333333334,124.66369047619048,6.392787756048811,5.081404364984463,3889.03,17.5625,67.06999999999994,0.19346427274142491,0.021405742252722702,-0.6437988419963829,Moderate
2025-10-05,180.45833333333334,24,0,81.39,3.39,9.08,VIIRS_SNPP_SP,596.52,160.0,529.45,84.0,237.2,49.0,402.4533333333334,309.4171428571428,146.54861111111111,131.43154761904762,4.411464070327499,3.2188758248682006,3970.42,42.08333333333334,-515.13,0.02639652846245654,-0.6241352695906202,0.43417119932381076,Low
2025-10-06,160.6875,0,0,0.0,0.0,0.0,,81.39,24.0,596.52,160.0,529.45,84.0,225.97000000000003,251.05714285714288,159.8402777777778,138.48214285714286,0.0,0.0,3970.42,-19.770833333333343,-81.39,0.0,-0.7261300727547335,-0.0722612606825576,None
2025-10-07,96.64583333333333,10,0,38.48,3.85,7.71,VIIRS_SNPP_SP,0.0,0.0,81.39,24.0,596.52,160.0,39.956666666666706,235.45714285714283,145.93055555555557,135.74404761904762,3.675794214565281,2.3978952727983707,4008.9,-64.04166666666667,38.48,0.012479892065798349,-0.6779084235870829,-1.712696858216357,Low
2025-10-08,104.22916666666667,32,0,60.1,1.88,8.66,VIIRS_SNPP_SP,38.48,10.0,0.0,0.0,81.39,24.0,32.860000000000035,220.44857142857146,120.52083333333333,133.95833333333334,4.11251186617755,3.4965075614664802,4069.0,7.583333333333343,21.620000000000005,0.019491723314825384,-0.650815074964302,-1.5184487913645992,Low
2025-10-09,122.875,76,0,393.04,5.17,47.12,VIIRS_SNPP_SP,60.1,32.0,38.48,10.0,0.0,0.0,163.87333333333336,242.71142857142857,107.91666666666667,132.01190476190476,5.976452426987478,4.343805421853684,4462.04,18.64583333333333,332.94,0.12747132997768668,-0.233587531464365,-1.0408333522648106,Low
2025-10-10,174.60416666666666,120,0,590.36,4.92,34.7,VIIRS_SNPP_SP,393.04,76.0,60.1,32.0,38.48,10.0,347.8333333333333,251.41285714285712,133.9027777777778,139.69642857142858,6.382424969013265,4.795790545596741,5052.4,51.72916666666666,197.32,0.19146645218203517,0.013686268269543753,0.2842159609025358,Moderate
