name,location,distance_km,area_sqkm,avg_AQI,pm2_5,pm10,co,no2,traffic_raw,industrial_count,vehicular_pct,industrial_pct
Ward_3726768,IGI Airport,7.368284757522061,0.11317209294817099,380.2753424657534,98.7700799086758,401.75230593607307,859.4173515981735,37.02350456621005,0.0,1,0.0,10.0
Ward_3726770,IGI Airport,6.924669458290214,0.6878692905289027,380.2753424657534,98.7700799086758,401.75230593607307,859.4173515981735,37.02350456621005,39.0,1,6.678082191780822,10.0
Ward_3774827,IGI Airport,5.772577569643874,4.89351234559933,380.2753424657534,98.7700799086758,401.75230593607307,859.4173515981735,37.02350456621005,312.0,1,53.42465753424658,10.0
Ward_3871763,IGI Airport,5.338042809062911,0.012784638069815503,380.2753424657534,98.7700799086758,401.75230593607307,859.4173515981735,37.02350456621005,106.0,1,18.15068493150685,10.0
Ward_423735535,Connaught Place,7.653278270739262,0.0,194.45308219178082,80.31478310502283,199.17309360730593,865.3297945205479,33.86200913242009,261.0,1,44.69178082191781,10.0
Ward_6960780,IGI Airport,3.835871893946373,1.2960037880591608,380.2753424657534,98.7700799086758,401.75230593607307,859.4173515981735,37.02350456621005,119.0,6,20.376712328767123,60.0
Ward_6960783,IGI Airport,3.3432501078047765,0.10679165484690055,380.2753424657534,98.7700799086758,401.75230593607307,859.4173515981735,37.02350456621005,82.0,5,14.04109589041096,50.0
Ward_939107100,Connaught Place,6.631734720836995,0.0,194.45308219178082,80.31478310502283,199.17309360730593,865.3297945205479,33.86200913242009,261.0,1,44.69178082191781,10.0
Ward_939107103,Connaught Place,6.046312490868911,0.0,194.45308219178082,80.31478310502283,199.17309360730593,865.3297945205479,33.86200913242009,276.0,1,47.26027397260274,10.0
Ward_939278431,Okhla Phase III,6.526031044072676,0.0,380.2753424657534,98.7700799086758,401.75230593607307,898.2611872146118,37.02350456621005,310.0,1,53.082191780821915,10.0
Ward_939284645,Connaught Place,6.699733590065862,0.0,194.45308219178082,80.31478310502283,199.17309360730593,865.3297945205479,33.86200913242009,221.0,1,37.84246575342466,10.0
Ward_940975618,IGI Airport,2.7338118411856454,0.0,380.2753424657534,98.7700799086758,401.75230593607307,859.4173515981735,37.02350456621005,58.0,4,9.931506849315069,40.0
Ward_941021267,Connaught Place,7.575662825545959,0.0,194.45308219178082,80.31478310502283,199.17309360730593,865.3297945205479,33.86200913242009,101.0,2,17.294520547945204,20.0
Ware Housing Scheme Block 1,Rohini,8.195348726255013,0.23107734963030266,194.45308219178082,80.31478310502283,199.17309360730593,818.947602739726,33.86200913242009,138.0,2,23.63013698630137,20.0
Ware Housing Scheme Block 2,Rohini,7.730027931942665,0.22686034365919142,194.45308219178082,80.31478310502283,199.17309360730593,818.947602739726,33.86200913242009,209.0,7,35.78767123287671,70.0
West End,IGI Airport,6.495012780666301,0.13075078512794092,380.2753424657534,98.7700799086758,401.75230593607307,859.4173515981735,37.02350456621005,244.0,1,41.78082191780822,10.0
West End Greens,IGI Airport,3.6479367137885803,3.6568090038679615,380.2753424657534,98.7700799086758,401.75230593607307,859.4173515981735,37.02350456621005,335.0,10,57.36301369863014,100.0
West Sagarpur,Dwarka,5.341701691197174,0.5265371876256698,380.2753424657534,98.7700799086758,401.75230593607307,806.033105022831,37.02350456621005,198.0,1,33.9041095890411,10.0
پریس کالونی,Rohini,8.035949242964342,0.08492197293342203,194.45308219178082,80.31478310502283,199.17309360730593,818.947602739726,33.86200913242009,140.0,3,23.972602739726025,30.0
